[2019-07-24T13:15:00.824-0300][11.407s][info][gc,heap       ] GC(16) Old regions: 325->346
[2019-07-24T13:15:00.824-0300][11.407s][info][gc,heap       ] GC(16) Humongous regions: 98->98
[2019-07-24T13:15:00.824-0300][11.407s][info][gc,metaspace  ] GC(16) Metaspace: 7712K->7712K(1056768K)
[2019-07-24T13:15:00.824-0300][11.407s][info][gc            ] GC(16) Pause Young (Normal) (G1 Evacuation Pause) 447M->448M(512M) 434.261ms
[2019-07-24T13:15:00.824-0300][11.407s][info][gc,cpu        ] GC(16) User=1.42s Sys=0.02s Real=0.43s
[2019-07-24T13:15:00.884-0300][11.467s][info][gc,marking    ] GC(9) Concurrent Rebuild Remembered Sets 2961.287ms
[2019-07-24T13:15:00.884-0300][11.467s][info][gc,start      ] GC(9) Pause Cleanup
[2019-07-24T13:15:00.885-0300][11.468s][info][gc            ] GC(9) Pause Cleanup 451M->451M(512M) 0.591ms
[2019-07-24T13:15:00.885-0300][11.468s][info][gc,cpu        ] GC(9) User=0.00s Sys=0.00s Real=0.00s
[2019-07-24T13:15:00.885-0300][11.468s][info][gc,marking    ] GC(9) Concurrent Cleanup for Next Mark
[2019-07-24T13:15:00.900-0300][11.483s][info][gc,marking    ] GC(9) Concurrent Cleanup for Next Mark 15.122ms
[2019-07-24T13:15:00.900-0300][11.483s][info][gc            ] GC(9) Concurrent Cycle 5775.330ms
[2019-07-24T13:15:01.169-0300][11.752s][info][gc,start      ] GC(17) Pause Young (Normal) (G1 Evacuation Pause)
[2019-07-24T13:15:01.169-0300][11.752s][info][gc,task       ] GC(17) Using 4 workers of 4 for evacuation
[2019-07-24T13:15:01.591-0300][12.174s][info][gc,mmu        ] GC(17) MMU target violated: 201.0ms (200.0ms/201.0ms)
